@relation pac-man
@attribute ronda_tick NUMERIC
@attribute width NUMERIC
@attribute height NUMERIC
@attribute pmanPosX NUMERIC
@attribute pmanPosY NUMERIC
@attribute legalWest {None, West}
@attribute legalStop {None, Stop}
@attribute legalEast {None, East}
@attribute legalNorth {None, North}
@attribute legalSouth {None, South}
@attribute direction {Stop,West,East,North,South}
@attribute numAgents NUMERIC
@attribute livingG_0 {True,False}
@attribute livingG_1 {True,False}
@attribute livingG_2 {True,False}
@attribute livingG_3 {True,False}
@attribute livingG_4 {True,False}
@attribute g1posX NUMERIC
@attribute g1posY NUMERIC
@attribute g2posX NUMERIC
@attribute g2posY NUMERIC
@attribute g3posX NUMERIC
@attribute g3posY NUMERIC
@attribute g4posX NUMERIC
@attribute g4posY NUMERIC
@attribute g1dir {Stop,West,East,North,South}
@attribute g2dir {Stop,West,East,North,South}
@attribute g3dir {Stop,West,East,North,South}
@attribute g4dir {Stop,West,East,North,South}
@attribute g1dist NUMERIC
@attribute g2dist NUMERIC
@attribute g3dist NUMERIC
@attribute g4dist NUMERIC
@attribute numFood NUMERIC
@attribute nearestFood NUMERIC
@attribute score NUMERIC
@attribute scoreSiguiente NUMERIC
@attribute action {Stop,West,East,North,South}

@data
1,20,13,1,11,None,Stop,East,None,South,Stop,4,False,True,True,True,True,6,5,6,9,8,11,14,6,Stop,Stop,Stop,Stop,11,11,11,11,2,14,-1,Stop,-2
2,20,13,1,11,None,Stop,East,None,South,Stop,4,False,True,True,True,True,6,5,6,10,8,11,14,7,Stop,North,Stop,North,11,11,11,11,2,14,-2,Stop,-3
3,20,13,1,11,None,Stop,East,None,South,Stop,4,False,True,True,True,True,6,5,6,11,7,11,14,8,Stop,North,West,North,11,11,11,11,2,14,-3,Stop,-4
4,20,13,1,11,None,Stop,East,None,South,Stop,4,False,True,True,True,True,6,5,7,11,8,11,15,8,Stop,East,East,East,11,11,11,11,2,14,-4,East,-5
8,20,13,5,11,West,Stop,East,None,South,East,4,False,True,True,True,True,7,5,5,10,11,11,15,9,East,West,East,West,8,8,8,8,2,10,-8,South,-9
9,20,13,5,10,None,Stop,East,North,South,South,4,False,True,True,True,True,7,4,6,10,11,11,16,9,South,East,East,East,8,8,8,8,2,9,-9,South,-10
10,20,13,5,9,West,Stop,East,North,South,South,4,False,True,True,True,True,7,3,6,9,12,11,15,9,South,South,East,West,8,8,8,8,2,8,-10,East,-11
11,20,13,6,9,West,Stop,East,North,South,East,4,False,True,True,True,True,7,3,6,10,11,11,16,9,South,North,West,East,7,7,7,7,2,7,-11,East,-12
12,20,13,7,9,West,Stop,East,None,South,East,4,False,True,True,True,True,7,3,6,11,11,11,16,9,South,North,West,East,6,6,6,6,2,6,-12,East,-13
13,20,13,8,9,West,Stop,East,None,South,East,4,False,True,True,True,True,6,3,5,11,11,10,15,9,West,West,South,West,8,8,8,8,2,5,-13,West,-14
