@relation pac-man
@attribute ronda_tick NUMERIC
@attribute width NUMERIC
@attribute height NUMERIC
@attribute pmanPosX NUMERIC
@attribute pmanPosY NUMERIC
@attribute legalWest {None, West}
@attribute legalStop {None, Stop}
@attribute legalEast {None, East}
@attribute legalNorth {None, North}
@attribute legalSouth {None, South}
@attribute direction {Stop,West,East,North,South}
@attribute numAgents NUMERIC
@attribute livingG_0 {True,False}
@attribute livingG_1 {True,False}
@attribute livingG_2 {True,False}
@attribute livingG_3 {True,False}
@attribute livingG_4 {True,False}
@attribute g1posX NUMERIC
@attribute g1posY NUMERIC
@attribute g2posX NUMERIC
@attribute g2posY NUMERIC
@attribute g3posX NUMERIC
@attribute g3posY NUMERIC
@attribute g4posX NUMERIC
@attribute g4posY NUMERIC
@attribute g1dir {Stop,West,East,North,South}
@attribute g2dir {Stop,West,East,North,South}
@attribute g3dir {Stop,West,East,North,South}
@attribute g4dir {Stop,West,East,North,South}
@attribute g1dist NUMERIC
@attribute g2dist NUMERIC
@attribute g3dist NUMERIC
@attribute g4dist NUMERIC
@attribute numFood NUMERIC
@attribute nearestFood NUMERIC
@attribute score NUMERIC
@attribute scoreSiguiente NUMERIC
@attribute action {Stop,West,East,North,South}

@data
1,20,13,1,11,None,Stop,East,None,South,Stop,4,False,True,True,True,True,6,5,6,9,8,11,14,6,Stop,Stop,Stop,Stop,11,11,11,11,2,14,-1,-2,Stop
2,20,13,1,11,None,Stop,East,None,South,Stop,4,False,True,True,True,True,6,5,6,10,8,11,14,7,Stop,North,Stop,North,11,11,11,11,2,14,-2,-3,Stop
3,20,13,1,11,None,Stop,East,None,South,Stop,4,False,True,True,True,True,6,5,6,11,7,11,14,8,Stop,North,West,North,11,11,11,11,2,14,-3,-4,Stop
4,20,13,1,11,None,Stop,East,None,South,Stop,4,False,True,True,True,True,6,5,7,11,8,11,15,8,Stop,East,East,East,11,11,11,11,2,14,-4,-5,East
8,20,13,5,11,West,Stop,East,None,South,East,4,False,True,True,True,True,7,5,5,10,11,11,15,9,East,West,East,West,8,8,8,8,2,10,-8,-9,South
9,20,13,5,10,None,Stop,East,North,South,South,4,False,True,True,True,True,7,4,6,10,11,11,16,9,South,East,East,East,8,8,8,8,2,9,-9,-10,South
10,20,13,5,9,West,Stop,East,North,South,South,4,False,True,True,True,True,7,3,6,9,12,11,15,9,South,South,East,West,8,8,8,8,2,8,-10,-11,East
11,20,13,6,9,West,Stop,East,North,South,East,4,False,True,True,True,True,7,3,6,10,11,11,16,9,South,North,West,East,7,7,7,7,2,7,-11,-12,East
12,20,13,7,9,West,Stop,East,None,South,East,4,False,True,True,True,True,7,3,6,11,11,11,16,9,South,North,West,East,6,6,6,6,2,6,-12,-13,East
13,20,13,8,9,West,Stop,East,None,South,East,4,False,True,True,True,True,6,3,5,11,11,10,15,9,West,West,South,West,8,8,8,8,2,5,-13,-14,West
14,20,13,7,9,West,Stop,East,None,South,West,4,False,True,True,True,True,5,3,5,10,11,11,15,9,West,South,North,West,8,8,8,8,2,6,-14,-15,West
15,20,13,6,9,West,Stop,East,North,South,West,4,False,True,True,True,True,6,3,5,10,10,11,16,9,East,South,West,East,6,6,6,6,2,7,-15,-16,West
16,20,13,5,9,West,Stop,East,North,South,West,4,False,True,True,True,True,7,3,6,10,10,11,16,9,East,East,West,East,8,8,8,8,2,8,-16,-17,North
17,20,13,5,10,None,Stop,East,North,South,North,4,False,True,True,True,True,6,3,6,11,11,11,17,9,West,North,East,East,8,8,8,8,2,9,-17,-18,East
18,20,13,6,10,West,Stop,None,North,South,East,4,False,True,True,True,True,7,3,7,11,11,11,17,9,East,East,East,East,8,8,8,8,2,8,-18,-19,Stop
19,20,13,6,10,West,Stop,None,North,South,East,4,False,True,True,True,True,6,3,7,11,11,10,17,9,West,East,South,East,7,7,7,7,2,8,-19,-20,North
20,20,13,6,11,West,Stop,East,None,South,North,4,False,True,True,True,True,7,3,7,11,11,11,16,9,East,East,North,West,9,9,9,9,2,9,-20,-21,East
24,20,13,10,11,West,Stop,East,None,South,East,4,False,True,False,True,True,5,3,10,11,10,10,15,9,West,Stop,South,West,13,13,13,13,2,5,176,175,South
25,20,13,10,10,None,Stop,East,North,South,South,4,False,True,False,True,True,5,3,3,1,10,9,14,9,West,Stop,South,West,12,12,12,12,2,4,175,374,South
26,20,13,10,9,West,Stop,East,North,South,South,4,False,True,False,False,True,5,4,3,1,5,1,14,10,North,Stop,Stop,North,10,10,10,10,2,3,374,373,East
28,20,13,12,9,West,Stop,East,None,South,East,4,False,True,False,False,True,5,4,3,1,5,1,14,10,South,Stop,Stop,North,12,12,12,12,2,3,372,371,East
29,20,13,13,9,West,Stop,East,None,South,East,4,False,True,False,False,True,6,4,3,1,5,1,14,11,East,Stop,Stop,North,12,12,12,12,2,2,371,370,East
30,20,13,14,9,West,Stop,East,North,South,East,4,False,True,False,False,True,5,4,3,1,5,1,15,11,West,Stop,Stop,East,14,14,14,14,2,1,370,469,North
31,20,13,14,10,None,Stop,None,North,South,North,4,False,True,False,False,True,6,4,3,1,5,1,15,11,East,Stop,Stop,East,14,14,14,14,1,8,469,468,North
32,20,13,14,11,West,Stop,East,None,South,North,4,False,True,False,False,True,5,4,3,1,5,1,16,11,West,Stop,Stop,East,16,16,16,16,1,9,468,667,East
36,20,13,14,11,West,Stop,East,None,South,West,4,False,True,False,False,False,6,5,3,1,5,1,7,1,East,Stop,Stop,Stop,14,14,14,14,1,9,664,663,West
39,20,13,11,11,West,Stop,East,None,South,West,4,False,True,False,False,False,6,4,3,1,5,1,7,1,South,Stop,Stop,Stop,12,12,12,12,1,6,661,660,South
40,20,13,11,10,West,Stop,None,North,South,South,4,False,True,False,False,False,5,4,3,1,5,1,7,1,West,Stop,Stop,Stop,12,12,12,12,1,5,660,659,South
42,20,13,10,9,West,Stop,East,North,South,West,4,False,True,False,False,False,6,5,3,1,5,1,7,1,North,Stop,Stop,Stop,8,8,8,8,1,3,658,657,South
43,20,13,10,8,West,Stop,None,North,South,South,4,False,True,False,False,False,5,5,3,1,5,1,7,1,West,Stop,Stop,Stop,8,8,8,8,1,2,657,656,South
44,20,13,10,7,West,Stop,None,North,South,South,4,False,True,False,False,False,4,5,3,1,5,1,7,1,West,Stop,Stop,Stop,8,8,8,8,1,1,656,755,South
45,20,13,10,6,West,Stop,None,North,South,South,4,False,True,False,False,False,5,5,3,1,5,1,7,1,East,Stop,Stop,Stop,6,6,6,6,0,-1,755,754,West
46,20,13,9,6,West,Stop,East,North,South,West,4,False,True,False,False,False,5,4,3,1,5,1,7,1,South,Stop,Stop,Stop,6,6,6,6,0,-1,754,753,West
47,20,13,8,6,None,Stop,East,North,South,West,4,False,True,False,False,False,4,4,3,1,5,1,7,1,West,Stop,Stop,Stop,6,6,6,6,0,-1,753,752,South
48,20,13,8,5,West,Stop,East,North,South,South,4,False,True,False,False,False,3,4,3,1,5,1,7,1,West,Stop,Stop,Stop,6,6,6,6,0,-1,752,751,West
49,20,13,7,5,West,Stop,East,None,South,West,4,False,True,False,False,False,3,5,3,1,5,1,7,1,North,Stop,Stop,Stop,4,4,4,4,0,-1,751,750,West
50,20,13,6,5,West,Stop,East,None,South,West,4,False,True,False,False,False,2,5,3,1,5,1,7,1,West,Stop,Stop,Stop,4,4,4,4,0,-1,750,749,West
51,20,13,5,5,West,Stop,East,None,South,West,4,False,True,False,False,False,2,5,3,1,5,1,7,1,West,Stop,Stop,Stop,3,3,3,3,0,-1,749,748,West
52,20,13,4,5,West,Stop,East,None,South,West,4,False,True,False,False,False,1,5,3,1,5,1,7,1,West,Stop,Stop,Stop,3,3,3,3,0,-1,748,747,West
53,20,13,3,5,West,Stop,East,None,South,West,4,False,True,False,False,False,1,5,3,1,5,1,7,1,West,Stop,Stop,Stop,2,2,2,2,0,-1,747,746,West
54,20,13,2,5,West,Stop,East,None,South,West,4,False,True,False,False,False,1,4,3,1,5,1,7,1,South,Stop,Stop,Stop,2,2,2,2,0,-1,746,745,West
55,20,13,1,5,None,Stop,East,North,South,West,4,False,True,False,False,False,1,3,3,1,5,1,7,1,South,Stop,Stop,Stop,2,2,2,2,0,-1,745,744,South
1,20,13,1,11,None,Stop,East,None,South,Stop,4,False,True,True,True,True,6,5,6,9,8,11,14,6,Stop,Stop,Stop,Stop,11,11,11,11,2,14,-1,-2,Stop
2,20,13,1,11,None,Stop,East,None,South,Stop,4,False,True,True,True,True,6,4,6,8,9,11,14,6,South,South,East,Stop,12,12,12,12,2,14,-2,-3,Stop
3,20,13,1,11,None,Stop,East,None,South,Stop,4,False,True,True,True,True,5,4,6,7,8,11,14,6,West,South,West,Stop,11,11,11,11,2,14,-3,-4,East
7,20,13,5,11,West,Stop,East,None,South,East,4,False,True,True,True,True,9,4,6,9,5,10,12,5,East,North,South,West,11,11,11,11,2,10,-7,-8,East
8,20,13,6,11,West,Stop,East,None,South,East,4,False,True,True,True,True,9,3,5,9,5,9,11,5,South,West,South,West,11,11,11,11,2,9,-8,-9,South
9,20,13,6,10,West,Stop,None,North,South,South,4,False,True,True,True,True,8,3,5,9,4,9,12,5,West,West,West,East,9,9,9,9,2,8,-9,-10,South
10,20,13,6,9,West,Stop,East,North,South,South,4,False,True,True,True,True,8,4,5,9,5,9,11,5,North,West,East,West,7,7,7,7,2,7,-10,389,West
11,20,13,5,9,West,Stop,East,North,South,West,4,False,True,False,False,True,8,5,5,9,5,1,10,5,North,Stop,Stop,West,7,7,7,7,2,8,389,388,West
12,20,13,4,9,West,Stop,East,None,South,West,4,False,True,False,False,True,8,6,3,1,5,1,11,5,North,Stop,Stop,East,7,7,7,7,2,9,388,387,South
13,20,13,4,8,West,Stop,East,North,South,South,4,False,True,False,False,True,8,6,3,1,5,1,11,4,North,Stop,Stop,South,6,6,6,6,2,8,387,386,East
14,20,13,5,8,West,Stop,East,North,South,East,4,False,True,False,False,True,8,6,3,1,5,1,11,3,North,Stop,Stop,South,5,5,5,5,2,7,386,385,East
15,20,13,6,8,West,Stop,East,North,South,East,4,False,True,False,False,True,8,7,3,1,5,1,10,3,North,Stop,Stop,West,3,3,3,3,2,6,385,384,East
16,20,13,7,8,West,Stop,East,North,South,East,4,False,True,False,False,True,8,8,3,1,5,1,9,3,North,Stop,Stop,West,1,1,1,1,2,5,384,583,East
17,20,13,8,8,West,Stop,East,North,South,East,4,False,False,False,False,True,8,8,3,1,5,1,9,3,Stop,Stop,Stop,West,-1,-1,-1,-1,2,4,583,582,East
18,20,13,9,8,West,Stop,East,North,South,East,4,False,False,False,False,True,1,1,3,1,5,1,8,3,Stop,Stop,Stop,West,-1,-1,-1,-1,2,3,582,581,South
19,20,13,9,7,West,Stop,East,North,South,South,4,False,False,False,False,True,1,1,3,1,5,1,7,3,Stop,Stop,Stop,West,-1,-1,-1,-1,2,2,581,580,South
20,20,13,9,6,West,Stop,East,North,South,South,4,False,False,False,False,True,1,1,3,1,5,1,8,3,Stop,Stop,Stop,East,-1,-1,-1,-1,2,1,580,679,East
21,20,13,10,6,West,Stop,None,North,South,East,4,False,False,False,False,True,1,1,3,1,5,1,8,3,Stop,Stop,Stop,East,-1,-1,-1,-1,1,8,679,678,Stop
22,20,13,10,6,West,Stop,None,North,South,East,4,False,False,False,False,True,1,1,3,1,5,1,9,3,Stop,Stop,Stop,East,-1,-1,-1,-1,1,8,678,677,South
23,20,13,10,5,West,Stop,East,North,South,South,4,False,False,False,False,True,1,1,3,1,5,1,9,4,Stop,Stop,Stop,North,-1,-1,-1,-1,1,9,677,676,South
24,20,13,10,4,West,Stop,East,North,South,South,4,False,False,False,False,True,1,1,3,1,5,1,9,5,Stop,Stop,Stop,North,-1,-1,-1,-1,1,10,676,675,West
25,20,13,9,4,West,Stop,East,North,South,West,4,False,False,False,False,True,1,1,3,1,5,1,10,5,Stop,Stop,Stop,East,-1,-1,-1,-1,1,11,675,674,North
26,20,13,9,5,West,Stop,East,North,South,North,4,False,False,False,False,True,1,1,3,1,5,1,11,5,Stop,Stop,Stop,East,-1,-1,-1,-1,1,10,674,673,East
27,20,13,10,5,West,Stop,East,North,South,East,4,False,False,False,False,True,1,1,3,1,5,1,11,5,Stop,Stop,Stop,East,-1,-1,-1,-1,1,9,673,672,East
28,20,13,11,5,West,Stop,East,None,South,East,4,False,False,False,False,True,1,1,3,1,5,1,12,5,Stop,Stop,Stop,East,-1,-1,-1,-1,1,8,672,671,East
30,20,13,13,5,West,Stop,East,None,South,East,4,False,False,False,False,True,1,1,3,1,5,1,13,4,Stop,Stop,Stop,South,-1,-1,-1,-1,1,6,670,669,East
31,20,13,14,5,West,Stop,East,North,South,East,4,False,False,False,False,True,1,1,3,1,5,1,14,4,Stop,Stop,Stop,East,-1,-1,-1,-1,1,5,669,668,North
32,20,13,14,6,None,Stop,None,North,South,North,4,False,False,False,False,True,1,1,3,1,5,1,14,4,Stop,Stop,Stop,East,-1,-1,-1,-1,1,4,668,667,North
33,20,13,14,7,West,Stop,East,North,South,North,4,False,False,False,False,True,1,1,3,1,5,1,14,4,Stop,Stop,Stop,East,-1,-1,-1,-1,1,3,667,666,North
34,20,13,14,8,West,Stop,East,North,South,North,4,False,False,False,False,True,1,1,3,1,5,1,13,4,Stop,Stop,Stop,West,-1,-1,-1,-1,1,2,666,665,North
35,20,13,14,9,West,Stop,East,North,South,North,4,False,False,False,False,True,1,1,3,1,5,1,13,5,Stop,Stop,Stop,North,-1,-1,-1,-1,1,1,665,764,North
36,20,13,14,10,None,Stop,None,North,South,North,4,False,False,False,False,True,1,1,3,1,5,1,12,5,Stop,Stop,Stop,West,-1,-1,-1,-1,0,-1,764,763,South
37,20,13,14,9,West,Stop,East,North,South,South,4,False,False,False,False,True,1,1,3,1,5,1,13,5,Stop,Stop,Stop,East,-1,-1,-1,-1,0,-1,763,762,South
38,20,13,14,8,West,Stop,East,North,South,South,4,False,False,False,False,True,1,1,3,1,5,1,14,5,Stop,Stop,Stop,East,-1,-1,-1,-1,0,-1,762,761,South
39,20,13,14,7,West,Stop,East,North,South,South,4,False,False,False,False,True,1,1,3,1,5,1,14,4,Stop,Stop,Stop,South,-1,-1,-1,-1,0,-1,761,760,South
40,20,13,14,6,None,Stop,None,North,South,South,4,False,False,False,False,True,1,1,3,1,5,1,15,4,Stop,Stop,Stop,East,-1,-1,-1,-1,0,-1,760,759,South
41,20,13,14,5,West,Stop,East,North,South,South,4,False,False,False,False,True,1,1,3,1,5,1,16,4,Stop,Stop,Stop,East,-1,-1,-1,-1,0,-1,759,758,South
42,20,13,14,4,West,Stop,East,North,South,South,4,False,False,False,False,True,1,1,3,1,5,1,15,4,Stop,Stop,Stop,West,-1,-1,-1,-1,0,-1,758,757,East
43,20,13,15,4,West,Stop,East,North,South,East,4,False,False,False,False,True,1,1,3,1,5,1,15,3,Stop,Stop,Stop,South,-1,-1,-1,-1,0,-1,757,756,East
44,20,13,16,4,West,Stop,East,North,South,East,4,False,False,False,False,True,1,1,3,1,5,1,14,3,Stop,Stop,Stop,West,-1,-1,-1,-1,0,-1,756,755,South
1,20,13,1,11,None,Stop,East,None,South,Stop,4,False,True,True,True,True,6,5,6,9,8,11,14,6,Stop,Stop,Stop,Stop,11,11,11,11,2,14,-1,-2,Stop
2,20,13,1,11,None,Stop,East,None,South,Stop,4,False,True,True,True,True,7,5,6,8,8,11,14,6,East,South,Stop,Stop,12,12,12,12,2,14,-2,-3,Stop
3,20,13,1,11,None,Stop,East,None,South,Stop,4,False,True,True,True,True,8,5,5,8,9,11,14,6,East,West,East,Stop,13,13,13,13,2,14,-3,-4,East
7,20,13,5,11,West,Stop,East,None,South,East,4,False,True,False,True,True,6,4,5,11,10,11,14,8,West,Stop,North,North,8,8,8,8,2,10,193,192,South
8,20,13,5,10,None,Stop,East,North,South,South,4,False,True,False,True,True,7,4,3,1,11,11,14,9,East,Stop,East,North,8,8,8,8,2,9,192,191,South
9,20,13,5,9,West,Stop,East,North,South,South,4,False,True,False,True,True,7,4,3,1,10,11,15,9,East,Stop,West,East,7,7,7,7,2,8,191,190,South
10,20,13,5,8,West,Stop,East,North,South,South,4,False,True,False,True,True,7,4,3,1,10,10,15,8,East,Stop,South,South,6,6,6,6,2,7,190,189,East
11,20,13,6,8,West,Stop,East,North,South,East,4,False,True,False,True,True,6,4,3,1,10,9,16,8,West,Stop,South,East,4,4,4,4,2,6,189,188,East
12,20,13,7,8,West,Stop,East,North,South,East,4,False,True,False,True,True,5,4,3,1,11,9,17,8,West,Stop,East,East,6,6,6,6,2,5,188,187,East
13,20,13,8,8,West,Stop,East,North,South,East,4,False,True,False,True,True,4,4,3,1,10,9,18,8,West,Stop,West,East,8,8,8,8,2,4,187,186,East
