@relation pac-man

@attribute width NUMERIC
@attribute height NUMERIC
@attribute pacmanPosition NUMERIC
@attribute legalPacmanActions NUMERIC
@attribute direction NUMERIC
@attribute numAgents NUMERIC
@attribute livingGhosts NUMERIC
@attribute ghostPositions NUMERIC
@attribute ghostDirections NUMERIC
@attribute ghostDistances NUMERIC
@attribute numFood NUMERIC
@attribute nearestFood NUMERIC
@attribute action NUMERIC
@attribute score NUMERIC

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,-1
20,13,111,032,0,4,10000,6569811146,0000,117718,2,14,0,-2
20,13,111,032,0,4,10000,5568911145,4232,108819,2,14,0,-3
20,13,211,403,3,4,10000,5469911135,2134,106717,2,13,3,-4
20,13,311,403,3,4,10000,54681011145,2233,96717,2,12,3,-5
20,13,411,403,3,4,10000,53581011144,2432,94617,2,11,3,-6
20,13,511,4032,3,4,10000,5459911134,1144,72415,2,10,3,-7
20,13,510,0312,2,4,10000,6469811134,3344,72414,2,9,2,-8
20,13,59,40312,2,4,10000,63610811144,2143,72514,2,8,2,-9
20,13,69,40312,3,4,10000,63610911154,2133,61514,2,7,3,-10
20,13,610,4012,1,4,10000,735101011155,3431,81514,2,8,1,189
20,13,611,4032,1,4,10100,63311011154,4032,80416,2,9,0,188
20,13,611,4032,1,4,10100,63311010164,4023,80517,2,9,0,187
20,13,711,403,3,4,10100,5331109154,4024,100515,2,8,3,186
20,13,811,403,3,4,10100,533199144,4044,110313,2,7,3,185
20,13,911,403,3,4,10100,433189144,4044,130312,2,6,3,184
20,13,1011,4032,3,4,10100,443189143,1042,130412,2,5,3,183
20,13,1111,4032,3,4,10100,343179143,4042,150611,2,4,3,182
20,13,1211,403,3,4,10100,333189153,2033,170611,2,3,3,181
20,13,1311,403,3,4,10100,343199154,1031,17069,2,2,3,180
20,13,1411,4032,3,4,10100,243198155,4021,19087,2,1,3,279
20,13,1410,012,2,4,10100,2531108154,1032,17067,1,8,2,278
20,13,149,40312,2,4,10100,2431108153,2032,17057,1,7,2,277
20,13,148,40312,2,4,10100,3431109163,3013,15057,1,6,2,276
20,13,138,40312,4,4,10100,44311010163,3013,13058,1,5,4,275
20,13,128,0312,4,4,10100,43311011163,2013,13059,1,4,0,274
20,13,129,4032,1,4,10100,43311111164,2031,14039,1,5,0,273
20,13,119,4031,4,4,10100,43311110174,2023,130111,1,4,4,272
20,13,109,40312,4,4,10100,44311010173,1042,110113,1,3,4,271
20,13,1010,0312,1,4,10100,44311110163,1034,120113,1,4,3,270
20,13,1011,4032,1,4,10100,5431119153,3024,120313,1,5,0,269
20,13,1111,4032,3,4,10100,6431109154,3041,120311,1,6,3,268
20,13,1110,4012,2,4,10100,74311010154,3011,100110,1,5,2,267
20,13,119,4031,2,4,10100,74311011155,3011,9038,1,4,0,266
20,13,109,40312,4,4,10100,75311010154,1022,70110,1,3,4,465
20,13,1010,0312,1,4,10110,853151164,3003,70012,1,4,1,464
20,13,1011,4032,1,4,10110,953151154,3004,70012,1,5,0,463
20,13,1011,4032,1,4,10110,953151153,3002,70013,1,5,0,462
20,13,1011,4032,1,4,10110,953151153,3002,70013,1,5,0,461
20,13,1010,0312,2,4,10110,953151153,3002,60012,1,4,2,460
20,13,109,40312,2,4,10110,953151143,3004,50010,1,3,2,459
20,13,108,4012,2,4,10110,963151144,1001,3008,1,2,2,458
20,13,107,4012,2,4,10110,953151143,2002,3008,1,1,2,557
20,13,106,4012,2,4,10110,953151153,2003,2008,0,0,2,556
20,13,105,40312,2,4,10110,853151154,4001,2006,0,0,2,555
20,13,95,40312,4,4,10110,843151144,2004,2006,0,0,4,554
20,13,85,40312,4,4,10110,833151145,2001,2006,0,0,4,553
20,13,84,40312,2,4,10110,933151135,3004,2006,0,0,2,552
20,13,83,4031,2,4,10110,933151135,3004,1007,0,0,0,751
20,13,93,4031,3,4,11110,933151145,0003,0007,0,0,3,750
20,13,103,4031,3,4,11110,113151155,0003,0007,0,0,3,749
20,13,104,40312,1,4,11110,113151165,0003,0007,0,0,1,748
20,13,105,40312,1,4,11110,113151175,0003,0007,0,0,1,747
20,13,115,4032,3,4,11110,113151185,0003,0007,0,0,3,746
20,13,125,403,3,4,11110,113151186,0001,0007,0,0,3,745
20,13,135,4032,3,4,11110,113151185,0002,0005,0,0,3,744
20,13,145,40312,3,4,11110,113151185,0002,0004,0,0,3,743
20,13,155,4032,3,4,11110,113151184,0002,0004,0,0,3,742
20,13,165,4032,3,4,11110,113151185,0001,0002,0,0,3,741
20,13,175,4032,3,4,11110,113151186,0001,0002,0,0,3,740
20,13,185,4012,3,4,11110,113151187,0001,0002,0,0,0,939
0,0,0,0,0,0,0,0,0,0,0,0,0,-1
16,5,43,403,0,4,10000,123141142,0000,40011,2,4,0,-2
16,5,43,403,0,4,10000,123141142,0000,40011,2,4,0,-3
16,5,53,403,3,4,10000,123141142,0000,50010,2,5,3,-4
16,5,63,40,3,4,10000,123141142,0000,6009,2,6,0,-5
16,5,53,403,4,4,10000,123141142,0000,50010,2,5,4,-6
16,5,43,403,4,4,10000,123141142,0000,40011,2,4,4,-7
16,5,33,403,4,4,10000,123141142,0000,30012,2,3,4,-8
16,5,23,403,4,4,10000,123141142,0000,20013,2,2,4,-9
16,5,13,032,4,4,10000,123141142,0000,10014,2,2,0,190
16,5,12,012,2,4,11000,123141142,0000,00013,2,1,2,489
16,5,11,031,2,4,11000,113141142,0000,00014,1,1,0,788
16,5,21,403,3,4,11000,113141142,0000,00013,0,0,3,987
16,5,31,403,3,4,11100,113141142,0000,00012,0,0,3,1386
16,5,41,403,3,4,11110,113141142,0000,00011,0,0,3,1585
