@relation pac-man

@attribute width NUMERIC
@attribute height NUMERIC
@attribute pacmanPosition NUMERIC
@attribute legalPacmanActions NUMERIC
@attribute direction NUMERIC
@attribute numAgents NUMERIC
@attribute livingGhosts NUMERIC
@attribute ghostPositions NUMERIC
@attribute ghostDirections NUMERIC
@attribute ghostDistances NUMERIC
@attribute numFood NUMERIC
@attribute nearestFood NUMERIC
@attribute action NUMERIC
@attribute score NUMERIC

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,-1
20,13,110,012,2,4,10000,6569811146,0000,106817,2,13,1,-2
20,13,19,0312,2,4,10000,75610811145,3102,106917,2,12,2,-3
20,13,110,012,1,4,10000,74611711155,2143,126719,2,13,1,-4
20,13,111,032,1,4,10000,64610611145,4244,126519,2,14,0,-5
20,13,110,012,2,4,10000,65510610135,1424,104517,2,13,1,-6
20,13,111,032,1,4,10000,65511610134,1122,114619,2,14,2,-7
20,13,111,032,1,4,10000,65411610134,1422,113619,2,14,0,-8
20,13,211,403,3,4,10000,65311610134,1422,101518,2,13,4,-9
20,13,211,403,3,4,10000,55411510134,4342,92418,2,13,3,-10
20,13,211,403,3,4,10000,6541159133,3322,102519,2,13,3,-11
20,13,211,403,3,4,10000,75511510134,3311,113418,2,13,4,-12
20,13,311,403,3,4,10000,65411510134,4411,91317,2,12,0,-13
20,13,311,403,3,4,10000,65511610134,4331,92417,2,12,0,-14
20,13,411,403,3,4,10000,55611510134,4341,72216,2,11,0,-15
20,13,511,4032,3,4,10000,55610510133,4242,62116,2,10,3,184
20,13,511,4032,3,4,10010,5451051134,2401,71015,2,10,2,383
20,13,611,4032,3,4,10110,553151133,1002,70015,2,9,2,382
20,13,511,4032,4,4,10110,553151134,1001,60015,2,10,0,381
20,13,411,403,4,4,10110,453151135,4001,60015,2,11,0,380
20,13,311,403,4,4,10110,553151134,3002,80017,2,12,3,379
20,13,411,403,3,4,10110,453151134,4002,60016,2,11,3,378
20,13,511,4032,3,4,10110,453151134,4002,70015,2,10,2,377
20,13,411,403,4,4,10110,453151135,4001,60015,2,11,4,376
20,13,511,4032,3,4,10110,553151125,3004,60013,2,10,4,375
20,13,411,403,4,4,10110,653151135,3003,80015,2,11,0,374
20,13,311,403,4,4,10110,643151134,2002,100017,2,12,0,373
20,13,311,403,4,4,10110,743151133,3002,110018,2,12,4,372
20,13,211,403,4,4,10110,753151143,1003,110020,2,13,4,371
20,13,211,403,4,4,10110,753151143,1003,110020,2,13,0,370
20,13,211,403,4,4,10110,753151143,1003,110020,2,13,3,369
20,13,311,403,3,4,10110,853151133,3004,110018,2,12,4,368
20,13,211,403,4,4,10110,853151134,3001,120018,2,13,0,367
20,13,211,403,4,4,10110,853151133,3002,120019,2,13,0,366
