@relation InstanceResultListener

@attribute Key_Dataset {pac-man}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.lazy.IBk,weka.classifiers.rules.PART,weka.classifiers.rules.ZeroR,weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {'-C 0.25 -M 2','-K 5 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-M 2 -C 0.25 -Q 1',''}
@attribute Key_Scheme_version_ID {-217733168393644444,-3080186098777067172,8121455039782598361,48055541465867954,5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 36\nSize of the tree: 71\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 30\nSize of the tree: 59\n','Number of leaves: 29\nSize of the tree: 57\n','Number of leaves: 39\nSize of the tree: 77\n','Number of leaves: 31\nSize of the tree: 61\n','Number of leaves: 27\nSize of the tree: 53\n','Number of leaves: 21\nSize of the tree: 41\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 22\nSize of the tree: 43\n','Number of leaves: 32\nSize of the tree: 63\n','Number of leaves: 23\nSize of the tree: 45\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 34\nSize of the tree: 67\n','Number of leaves: 20\nSize of the tree: 39\n','Number of leaves: 38\nSize of the tree: 75\n','Number of leaves: 33\nSize of the tree: 65\n','Number of leaves: 35\nSize of the tree: 69\n','Number of leaves: 37\nSize of the tree: 73\n','Number of leaves: 40\nSize of the tree: 79\n','Number of leaves: 41\nSize of the tree: 81\n','Number of leaves: 43\nSize of the tree: 85\n','Number of rules: 29\n','Number of rules: 34\n','Number of rules: 33\n','Number of rules: 37\n','Number of rules: 30\n','Number of rules: 35\n','Number of rules: 28\n','Number of rules: 40\n','Number of rules: 38\n','Number of rules: 27\n','Number of rules: 36\n','Number of rules: 31\n','Number of rules: 41\n','Number of rules: 39\n','Number of rules: 24\n','Number of rules: 32\n','Number of rules: 42\n','Number of rules: 26\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

pac-man,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190405.1303,246,28,13,15,0,46.428571,53.571429,0,0.182879,0.215779,0.399529,86.995027,112.241064,47.354472,7538.873413,-7491.518941,1.691231,269.245479,-267.554248,8.902034,0.31793,18.79872,0.5,1,0.115385,3,0.884615,23,0.5,1,0.25,0.5,0.333333,0.283069,0.817308,0.24359,0.464286,0.239141,0.760859,0.535714,0.445153,0.464286,0.448213,0.202061,0.643539,0.469995,0.33267,0.464286,0.029,0.002,0.03125,0,31.25,0,20476,36484,5746,75,40.714286,'Number of leaves: 36\nSize of the tree: 71\n',71,36,36
pac-man,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190405.1303,246,28,17,11,0,60.714286,39.285714,0,0.324561,0.188813,0.366841,75.740808,102.488907,48.46481,5395.04431,-5346.579499,1.730886,192.680154,-190.949268,14.706073,0.525217,30.343815,0.333333,1,0,0,1,25,0.666667,2,1,0.333333,0.5,0.555556,0.64,0.416667,0.607143,0.319517,0.680483,0.392857,0.635965,0.607143,0.592437,0.336114,0.679775,0.543497,0.526471,0.607143,0.013,0.001,0.015625,0,15.625,0,16604,36484,5746,78.571429,42.857143,'Number of leaves: 28\nSize of the tree: 55\n',55,28,28
pac-man,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190405.1303,246,28,14,14,0,50,50,0,0.158798,0.20372,0.381845,83.512773,109.277512,46.553773,3255.977823,-3209.42405,1.662635,116.284922,-114.622287,8.503539,0.303698,18.266057,0,0,0.08,2,0.92,23,1,3,0,0,0,-0.096077,0.62,0.174603,0.5,0.333623,0.666377,0.5,0.487605,0.5,0.492063,0.170332,0.719605,0.581142,0.333333,0.5,0.007,0,0,0,0,0,15152,36484,5746,89.285714,47.142857,'Number of leaves: 25\nSize of the tree: 49\n',49,25,25
pac-man,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190405.1303,246,28,16,12,0,57.142857,42.857143,0,0.222222,0.190309,0.382138,78.01506,109.361365,46.553773,5398.901764,-5352.347992,1.662635,192.81792,-191.155285,11.709191,0.418185,25.151971,0.333333,1,0.04,1,0.96,24,0.666667,2,0.5,0.333333,0.4,0.352282,0.7,0.429654,0.571429,0.36324,0.63676,0.428571,0.55,0.571429,0.54229,0.240618,0.706244,0.586847,0.414484,0.571429,0.005,0,0,0,0,0,17572,36484,5746,75,40,'Number of leaves: 30\nSize of the tree: 59\n',59,30,30
pac-man,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190405.1303,247,27,13,14,0,48.148148,51.851852,0,0.219008,0.19692,0.366409,82.078347,106.84945,42.9952,5391.035288,-5348.040088,1.592415,199.667974,-198.075559,9.708459,0.359573,22.580333,0,0,0.08,2,0.92,23,1,2,0,0,0,-0.08,0.41,0.075499,0.481481,0.191916,0.808084,0.518519,0.58526,0.481481,0.513815,0.282219,0.72196,0.632994,0.349206,0.481481,0.004,0.001,0,0,0,0,15152,36625,5605,81.481481,44.444444,'Number of leaves: 25\nSize of the tree: 49\n',49,25,25
pac-man,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190405.1303,247,27,17,10,0,62.962963,37.037037,0,0.382151,0.184974,0.351194,77.098758,102.412639,42.9952,6458.660866,-6415.665666,1.592415,239.209662,-237.617247,11.802763,0.437139,27.451351,0.5,1,0.04,1,0.96,24,0.5,1,0.5,0.5,0.5,0.46,0.61,0.287037,0.62963,0.165677,0.834323,0.37037,0.620062,0.62963,0.61952,0.444879,0.754562,0.648767,0.450062,0.62963,0.005,0,0,0,0,0,17088,36625,5605,77.777778,44.444444,'Number of leaves: 29\nSize of the tree: 57\n',57,29,29
pac-man,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190405.1303,247,27,17,10,0,62.962963,37.037037,0,0.421842,0.169394,0.345464,70.605021,100.741671,42.9952,6456.942076,-6413.946876,1.592415,239.146003,-237.553588,16.523862,0.611995,38.431875,0.5,1,0.12,3,0.88,22,0.5,1,0.25,0.5,0.333333,0.28014,0.89,0.361111,0.62963,0.152792,0.847208,0.37037,0.680437,0.62963,0.645962,0.45584,0.721577,0.622661,0.517307,0.62963,0.006,0,0,0,0,0,20476,36625,5605,77.777778,41.481481,'Number of leaves: 36\nSize of the tree: 71\n',71,36,36
pac-man,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190405.1303,247,27,15,12,0,55.555556,44.444444,0,0.179747,0.188201,0.364933,78.443962,106.419006,42.9952,3252.856362,-3209.861162,1.592415,120.476162,-118.883747,9.378376,0.347347,21.812611,0,0,0.12,3,0.88,22,1,2,0,0,0,-0.1,0.48,0.111111,0.555556,0.355397,0.644603,0.444444,0.498051,0.555556,0.522516,0.21335,0.720119,0.589666,0.296825,0.555556,0.005,0.001,0,0,0,0,16604,36625,5605,85.185185,44.444444,'Number of leaves: 28\nSize of the tree: 55\n',55,28,28
pac-man,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20190405.1303,247,27,16,11,0,59.259259,40.740741,0,0.212202,0.161248,0.332277,67.209771,96.89603,42.9952,2173.712558,-2130.717358,1.592415,80.507873,-78.915458,15.312524,0.567131,35.614495,0,0,0,0,1,25,1,2,?,0,?,?,0.87,0.326923,0.592593,0.406822,0.593178,0.407407,?,0.592593,?,?,0.820922,0.713959,?,0.592593,0.005,0,0.015625,0,15.625,0,21928,36625,5605,92.592593,42.962963,'Number of leaves: 39\nSize of the tree: 77\n',77,39,39
